,Town_Code,Year,_2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,prediction
167,0,0,0,2,0,0,1,2,2
168,0,0,0,2,0,0,2,0,4
169,0,0,0,2,0,0,2,1,4
170,0,0,0,2,0,0,2,2,2
171,0,0,0,2,0,1,0,0,4
172,0,0,0,2,0,1,0,1,2
173,0,0,0,2,0,1,0,2,2
174,0,0,0,2,0,1,1,0,4
175,0,0,0,2,0,1,1,1,2
176,0,0,0,2,0,1,1,2,2
177,0,0,0,2,0,1,2,0,4
178,0,0,0,2,0,1,2,1,2
179,0,0,0,2,0,1,2,2,2
180,0,0,0,2,0,2,0,0,2
181,0,0,0,2,0,2,0,1,2
182,0,0,0,2,0,2,0,2,2
183,0,0,0,2,0,2,1,0,2
184,0,0,0,2,0,2,1,1,2
